"BehaviorSpace results (NetLogo 6.1.0)"
"Sugarscape Pension Law.nlogo"
"pensionsExperiments"
"08/12/2019 15:23:25:918 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","minimum-sugar-endowment","maximum-sugar-endowment","visualization","random-initial-age","resources-occupation","social-services","productivity-decay","initial-population","retirement-age","pension-taxes","fixed-fee","[step]","precision piggy-bank 2","precision  (   accumulated-gdp / ( ticks + 1) )  2","precision  ( (gini-index-reserve / count turtles) * 2)  2","died-working-turtles","died-retired-turtles","(died-retired-turtles + died-working-turtles)"
"54","5","25","no-visualization","true","true","false","false","400","100","4.7","0.1","1000","85609.57","981.51","0.46","5157","0","5157"
"55","5","25","no-visualization","true","true","false","false","400","100","4.7","0.1","1000","85571.3","980.59","0.45","5091","0","5091"
"56","5","25","no-visualization","true","true","false","false","400","100","4.7","0.1","1000","85725.24","983.69","0.48","5073","0","5073"
"57","5","25","no-visualization","true","true","false","false","400","100","4.7","0.1","1000","85688.02","982.95","0.45","5050","0","5050"
"58","5","25","no-visualization","true","true","false","false","400","100","4.7","0.1","1000","85588.51","981.35","0.47","5303","0","5303"
"59","5","25","no-visualization","true","true","false","false","400","100","4.7","0.1","1000","85611.64","981.6","0.48","5186","0","5186"
"60","5","25","no-visualization","true","true","false","false","400","100","4.7","0.1","1000","85601.34","981.61","0.46","5257","0","5257"
"61","5","25","no-visualization","true","true","false","false","400","100","4.7","0.5","1000","239886.39","980.01","0.47","6766","0","6766"
"62","5","25","no-visualization","true","true","false","false","400","100","4.7","0.5","1000","239814.88","979.91","0.47","6808","0","6808"
"63","5","25","no-visualization","true","true","false","false","400","100","4.7","0.5","1000","239873.39","979.24","0.47","6799","0","6799"
"64","5","25","no-visualization","true","true","false","false","400","100","4.7","0.5","1000","239985.33","979.91","0.45","6739","0","6739"
"65","5","25","no-visualization","true","true","false","false","400","100","4.7","0.5","1000","239781.35","979.07","0.47","6901","0","6901"
"67","5","25","no-visualization","true","true","false","false","400","100","4.7","0.5","1000","240042.34","980.77","0.48","6755","0","6755"
"66","5","25","no-visualization","true","true","false","false","400","100","4.7","0.5","1000","240010.65","979.2","0.45","6680","0","6680"
"68","5","25","no-visualization","true","true","false","false","400","100","4.7","0.5","1000","239904.94","979.92","0.46","6874","0","6874"
"69","5","25","no-visualization","true","true","false","false","400","100","4.7","0.5","1000","239921.59","980.11","0.48","6716","0","6716"
"70","5","25","no-visualization","true","true","false","false","400","100","4.7","0.5","1000","239906.37","979.61","0.47","6816","0","6816"
"71","5","25","no-visualization","true","true","false","false","400","100","4.7","1","1000","409580.21","981.45","0.48","9456","0","9456"
"72","5","25","no-visualization","true","true","false","false","400","100","4.7","1","1000","409214.31","982.98","0.5","9361","0","9361"
"73","5","25","no-visualization","true","true","false","false","400","100","4.7","1","1000","411067.8","982.89","0.51","9162","0","9162"
"74","5","25","no-visualization","true","true","false","false","400","100","4.7","1","1000","409417.08","981.04","0.48","9243","0","9243"
"76","5","25","no-visualization","true","true","false","false","400","100","4.7","1","1000","409033.63","981.54","0.49","9364","0","9364"
"77","5","25","no-visualization","true","true","false","false","400","100","4.7","1","1000","409863.28","982.87","0.54","9203","0","9203"
"75","5","25","no-visualization","true","true","false","false","400","100","4.7","1","1000","410007.14","983.1","0.47","9299","0","9299"
"78","5","25","no-visualization","true","true","false","false","400","100","4.7","1","1000","409136.54","981.37","0.5","9427","0","9427"
"79","5","25","no-visualization","true","true","false","false","400","100","4.7","1","1000","409157.82","983.08","0.49","9345","0","9345"
"80","5","25","no-visualization","true","true","false","false","400","100","4.7","1","1000","410346.54","983.37","0.46","9133","0","9133"
"81","5","25","no-visualization","true","true","false","false","400","100","10","0","1000","98464.3","983.66","0.46","5270","0","5270"
"82","5","25","no-visualization","true","true","false","false","400","100","10","0","1000","98361.4","982.63","0.45","5188","0","5188"
"83","5","25","no-visualization","true","true","false","false","400","100","10","0","1000","98312.6","982.14","0.44","5067","0","5067"
"84","5","25","no-visualization","true","true","false","false","400","100","10","0","1000","98298.1","982","0.45","5068","0","5068"
"85","5","25","no-visualization","true","true","false","false","400","100","10","0","1000","98363.9","982.66","0.47","5211","0","5211"
"86","5","25","no-visualization","true","true","false","false","400","100","10","0","1000","98447.4","983.49","0.47","5238","0","5238"
"87","5","25","no-visualization","true","true","false","false","400","100","10","0","1000","98414.8","983.16","0.44","5271","0","5271"
"88","5","25","no-visualization","true","true","false","false","400","100","10","0","1000","98499.8","984.01","0.43","5223","0","5223"
"89","5","25","no-visualization","true","true","false","false","400","100","10","0","1000","98336","982.38","0.45","5224","0","5224"
"90","5","25","no-visualization","true","true","false","false","400","100","10","0","1000","98363.7","982.65","0.46","5228","0","5228"
"91","5","25","no-visualization","true","true","false","false","400","100","10","0.1","1000","137681.6","982","0.44","5599","0","5599"
"92","5","25","no-visualization","true","true","false","false","400","100","10","0.1","1000","137592.7","980.97","0.46","5499","0","5499"
"94","5","25","no-visualization","true","true","false","false","400","100","10","0.1","1000","137618","981.37","0.46","5675","0","5675"
"93","5","25","no-visualization","true","true","false","false","400","100","10","0.1","1000","137685.6","982.08","0.45","5670","0","5670"
"95","5","25","no-visualization","true","true","false","false","400","100","10","0.1","1000","137465.7","979.87","0.46","5650","0","5650"
"96","5","25","no-visualization","true","true","false","false","400","100","10","0.1","1000","137674.8","981.91","0.46","5601","0","5601"
"97","5","25","no-visualization","true","true","false","false","400","100","10","0.1","1000","137638.4","981.57","0.45","5635","0","5635"
"98","5","25","no-visualization","true","true","false","false","400","100","10","0.1","1000","137794.9","983.21","0.46","5627","0","5627"
"99","5","25","no-visualization","true","true","false","false","400","100","10","0.1","1000","137599","981.22","0.44","5701","0","5701"
"100","5","25","no-visualization","true","true","false","false","400","100","10","0.1","1000","137608.7","981.23","0.47","5625","0","5625"
"101","5","25","no-visualization","true","true","false","false","400","100","10","0.5","1000","292134.5","980.63","0.49","7487","0","7487"
"103","5","25","no-visualization","true","true","false","false","400","100","10","0.5","1000","291847.8","979.04","0.47","7565","0","7565"
"102","5","25","no-visualization","true","true","false","false","400","100","10","0.5","1000","291739.1","978.02","0.47","7620","0","7620"
"104","5","25","no-visualization","true","true","false","false","400","100","10","0.5","1000","292450.4","981.89","0.48","7201","0","7201"
"105","5","25","no-visualization","true","true","false","false","400","100","10","0.5","1000","291784.7","978.68","0.44","7556","0","7556"
"106","5","25","no-visualization","true","true","false","false","400","100","10","0.5","1000","291707.1","978.25","0.48","7575","0","7575"
"108","5","25","no-visualization","true","true","false","false","400","100","10","0.5","1000","291858","979.58","0.47","7659","0","7659"
"107","5","25","no-visualization","true","true","false","false","400","100","10","0.5","1000","292179","981.23","0.47","7443","0","7443"
"109","5","25","no-visualization","true","true","false","false","400","100","10","0.5","1000","292128.4","979.78","0.47","7374","0","7374"
"110","5","25","no-visualization","true","true","false","false","400","100","10","0.5","1000","291946.4","980.61","0.47","7679","0","7679"
"111","5","25","no-visualization","true","true","false","false","400","100","10","1","1000","463363.8","982.68","0.48","10709","0","10709"
"112","5","25","no-visualization","true","true","false","false","400","100","10","1","1000","464206.4","982.39","0.48","10868","0","10868"
"113","5","25","no-visualization","true","true","false","false","400","100","10","1","1000","464625.6","982.77","0.48","10602","0","10602"
"114","5","25","no-visualization","true","true","false","false","400","100","10","1","1000","463499.7","984.3","0.48","10670","0","10670"
"115","5","25","no-visualization","true","true","false","false","400","100","10","1","1000","465360.3","984.11","0.46","10767","0","10767"
